AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,EXCESS_TEMPERATURE,DAILY_YIELD
25.18431613,22.8575074,0,-2.32680873,0
25.08458867,22.76166787,0,-2.3229208,0
24.9357526,22.59230553,0,-2.34344707,0
24.8461304,22.36085213,0,-2.48527827,0
24.62152536,22.16542264,0,-2.45610272,0
24.5360922,21.96857087,0,-2.56752133,0
24.63867387,22.35292567,0,-2.2857482,0
24.87302233,23.1609192,0,-1.71210313,0
24.93693047,23.026113,0,-1.91081747,0
25.0122476,23.34322927,0,-1.66901833,0
25.00514933,23.63945927,0,-1.36569006,0
24.99301953,24.0394858,0,-0.95353373,0
25.01630943,24.38413557,0,-0.63217386,0
24.98521527,24.35150773,0,-0.63370754,0
24.93773193,24.06029653,0,-0.8774354,0
24.87909953,23.70979413,0,-1.1693054,0
24.6789022,22.58994153,0,-2.08896067,0
24.3519308,21.78364253,0,-2.56828827,0
24.0626222,21.85252493,0,-2.21009727,0
24.0132242,22.306315,0,-1.7069092,0
24.1771058,22.55190847,0,-1.62519733,0
24.304888,22.97949207,0,-1.32539593,0
24.32872727,23.45238047,0,-0.8763468,0
24.28921113,23.09669193,0.000862721,-1.1925192,0
24.08844607,22.2067566,0.005886957,-1.88168947,0
24.01163527,22.35345867,0.022281607,-1.6581766,2.625
23.97673127,22.893282,0.049409724,-1.08344927,13.28571429
24.21899,24.44244393,0.095394454,0.22345393,34.875
24.5373984,27.18565287,0.141940443,2.64825447,72.71428571
24.8159595,28.88847786,0.154712676,4.07251836,116.25
24.98878987,29.6056438,0.148799153,4.61685393,162.4285714
25.21618033,29.54711093,0.144793419,4.3309306,206.375
25.41951307,31.41254473,0.201638621,5.99303166,263.5714286
25.95908213,35.5287108,0.345707653,9.56962867,359.875
26.43078207,40.3180586,0.405348573,13.88727653,464
26.8318298,39.08195373,0.312426795,12.25012393,556.125
27.6209698,45.0092326,0.623152649,17.3882628,688.8571429
27.98836207,46.6177065,0.344884036,18.62934443,811.625
27.51672787,39.136326,0.2492484,11.61959813,886.5714286
27.45010767,40.93057693,0.541205977,13.48046926,991.4285714
28.63219187,52.5477356,0.670675372,23.91554373,1161.25
28.76891273,47.633738,0.572283477,18.86482527,1307.571429
29.3514426,49.24972327,0.455148383,19.89828067,1440
28.85470787,44.0483256,0.361961654,15.19361773,1549
29.41081933,47.6854534,0.636560881,18.27463407,1693
30.21606229,50.00698857,0.585787214,19.79092628,1843.714286
